# Time-averaged data for fix at2
# TimeStep f_mysf1[1] f_mysf2[1]
171000 -0.046879 -0.00823899
172000 0.0344733 -0.0147197
173000 -0.0472278 -0.0189762
174000 0.0363476 0.00338115
175000 -0.051187 0.01133
176000 0.0157717 0.080833
177000 0.00330795 0.0110968
178000 0.0394137 2.4677e-05
179000 0.0648023 -0.0298994
180000 -0.0742856 0.051123
181000 0.00735186 -0.112086
182000 -0.0492552 0.0307729
183000 0.0229907 -0.00832253
184000 -0.0310951 0.0489795
185000 0.068864 -0.0580558
186000 -0.0274856 -0.0227032
187000 0.0146539 -0.00608733
188000 -0.0605767 0.0144224
189000 0.0377141 -0.0210889
190000 0.0109142 0.0422436
191000 -0.0624762 0.0350411
192000 0.0532618 -0.00817911
193000 0.00398605 -0.0683053
194000 0.0010232 0.0164503
195000 0.0054913 -0.0310514
196000 0.00498671 -0.0145638
197000 0.0179577 0.0300003
198000 -0.0425283 0.0260481
199000 -0.00511383 -0.0319263
200000 -0.00284491 -0.00241846
201000 0.0421851 -0.0242052
202000 -0.0232152 0.00822313
203000 0.00952951 -0.0358029
204000 -0.0164874 0.0301971
205000 -0.00288723 0.0398489
206000 0.00933055 -0.0358583
207000 0.0214451 -0.037511
208000 0.0233353 0.0670779
209000 -0.0146204 -0.0957419
210000 -0.0336659 0.185599
211000 -0.00882506 -0.0667136
212000 0.0313986 -0.0406722
213000 0.0305549 0.0831765
214000 -0.0177092 -0.0524238
215000 -0.00361523 -0.043474
216000 0.0690492 0.0524423
217000 -0.0757926 -0.023563
218000 0.0363861 0.013599
219000 0.0494492 -0.0227583
220000 0.386442 0.00466515
221000 -0.301286 0.0667439
222000 0.0178214 -0.10432
223000 0.010116 -0.100873
224000 -0.064053 -0.0139965
225000 0.0723059 0.0613744
226000 -0.0573347 0.0225269
227000 0.0507427 -0.0644562
228000 0.00445116 0.119693
229000 -0.0575224 -0.180885
230000 0.117914 0.112694
231000 -0.062397 -0.00478852
232000 0.125548 -0.0924095
233000 -0.0182489 0.169281
234000 -0.00622504 -0.147007
235000 -0.00598162 0.000388983
236000 -0.0773409 0.0168809
237000 0.190749 0.0456791
238000 -0.0616616 -0.0500373
239000 0.206872 0.0315888
240000 0.00204876 -0.0497392
241000 0.00166247 0.116571
242000 -0.141415 -0.102448
243000 0.154711 0.0515037
244000 -0.118634 -0.0584065
245000 0.0213241 0.0465151
246000 0.0199261 -0.0140715
247000 0.0345031 -0.0262557
248000 -0.0333257 0.0309334
249000 -0.0261709 -0.00796125
250000 0.100855 -0.0695869
251000 -0.0914799 0.0430268
252000 0.0567025 -0.00655897
253000 0.0637607 -0.0230786
254000 0.000279267 0.0805687
255000 -0.101716 -0.0463173
256000 0.0825574 0.0552356
257000 0.0419008 -0.046023
258000 -0.0103943 0.0681106
259000 0.0166703 -0.0864956
260000 -0.0703802 -0.0239185
261000 0.0172327 0.0766637
262000 -0.0837382 -0.0138631
263000 0.0519394 -0.0396277
264000 -0.0423142 -0.00111001
265000 0.157893 0.015703
266000 -0.0114858 -0.00759435
267000 0.0376976 0.0353546
268000 -0.00964412 0.00226431
269000 -0.0768475 -0.00363336
270000 0.0667032 0.00844375
271000 -0.0478342 0.00378768
272000 0.0190021 -0.00562391
273000 -0.178667 -0.0264857
274000 -0.0754343 -0.00730401
275000 0.123409 -0.0195367
276000 0.0813502 0.0366781
277000 0.00264982 0.0393646
278000 0.0960385 -0.0158234
279000 -0.054355 0.0215376
280000 -0.00235224 -0.0682613
281000 -0.119298 0.0466448
282000 0.0591321 -0.0402952
283000 0.0604019 0.00273976
284000 -0.0311308 -0.0894346
285000 -0.0590975 0.105988
